Model,Layer,MaxACC,MeanACC,std,time,metric01,metric02,parameters
LGT_GCN,8,0.856,0.8522000000000001,0.004,133.4262,0.0,0.0,python main.py --data cora --model LGT_GCN --hid 128 --lr 0.05 --epochs 60 --wightDecay 0.0005 --nlayer 8 --seed 30 --tau 0.7 --dropout 0.6 --maskingRate 0.3 --mergeWay 1 --topk 1 --aug_adj 1 --local 1 
LGT_GCN,8,0.85,0.844,0.0045,120.7068,0.0,0.0,python main.py --data cora --model LGT_GCN --hid 128 --lr 0.05 --epochs 60 --wightDecay 0.0005 --nlayer 8 --seed 30 --tau 0.7 --dropout 0.6 --maskingRate 0.3 --mergeWay 1 --topk 1 --aug_adj 1 --local 1 
LGT_GCN,8,0.851,0.8410000000000001,0.0098,117.9943,0.0,0.0,python main.py --data cora --model LGT_GCN --hid 128 --lr 0.05 --epochs 60 --wightDecay 0.0005 --nlayer 8 --seed 30 --tau 0.7 --dropout 0.6 --maskingRate 0.3 --mergeWay 1 --topk 1 --aug_adj 1 --local 1 
LGT_GCN,8,0.856,0.8522000000000001,0.004,138.2611,0.0,0.0,python main.py --data cora --model LGT_GCN --hid 128 --lr 0.05 --epochs 60 --wightDecay 0.0005 --nlayer 8 --seed 30 --tau 0.7 --dropout 0.6 --maskingRate 0.3 --mergeWay 1 --topk 1 --aug_adj 1 --local 1 
LGT_GCN,8,0.856,0.8522000000000001,0.004,117.2522,0.0,0.0,python main.py --data cora --model LGT_GCN --hid 128 --lr 0.05 --epochs 60 --wightDecay 0.0005 --nlayer 8 --seed 30 --tau 0.7 --dropout 0.6 --maskingRate 0.3 --mergeWay 1 --topk 1 --aug_adj 1 --local 1 
LGT_GCN,8,0.85,0.8378000000000001,0.0074,209.2269,0.0,0.0,python main.py --data cora --model LGT_GCN --hid 128 --lr 0.05 --epochs 60 --wightDecay 0.0005 --nlayer 8 --seed 30 --tau 0.7 --dropout 0.6 --maskingRate 0.3 --mergeWay 1 --topk 1 --aug_adj 1 --local 1 
LGT_GCN,8,0.856,0.8522000000000001,0.004,119.5977,0.0,0.0,python main.py --data cora --model LGT_GCN --hid 128 --lr 0.05 --epochs 60 --wightDecay 0.0005 --nlayer 8 --seed 30 --tau 0.7 --dropout 0.6 --maskingRate 0.3 --mergeWay 1 --topk 1 --aug_adj 1 --local 1 
LGT_GCN,8,0.856,0.8437999999999999,0.0089,210.1234,0.0,0.0,python main.py --data cora --model LGT_GCN --hid 128 --lr 0.05 --epochs 60 --wightDecay 0.0005 --nlayer 8 --seed 30 --tau 0.7 --dropout 0.6 --maskingRate 0.3 --mergeWay 1 --topk 1 --aug_adj 1 --local 1 
LGT_GCN,16,0.8320000000000001,0.8320000000000001,nan,29.8317,0.0,0.0,python main.py --data cora --model LGT_GCN --hid 128 --lr 0.01 --epochs 50 --wightDecay 0.0005 --nlayer 16 --seed 30 --tau 0.5 --dropout 0.4 --maskingRate 0.3 --mergeWay 1 --topk 1 --aug_adj 1 --local 1 --t 2 
LGT_GCN,16,0.843,0.843,nan,28.1823,0.0,0.0,python main.py --data cora --model LGT_GCN --hid 128 --lr 0.01 --epochs 50 --wightDecay 0.0005 --nlayer 16 --seed 30 --tau 0.5 --dropout 0.4 --maskingRate 0.3 --mergeWay 1 --topk 1 --aug_adj 1 --local 1 --t 2 
LGT_GCN,16,0.846,0.846,nan,107.2722,0.0,0.0,python main.py --data cora --model LGT_GCN --hid 128 --lr 0.01 --epochs 200 --wightDecay 0.0005 --nlayer 16 --seed 30 --tau 0.5 --dropout 0.4 --maskingRate 0.3 --mergeWay 1 --topk 1 --aug_adj 1 --local 1 --t 2 